id	map	x	y	z	has_z	position_role	position_name	anchor_score	score	evidence	source
11001	100	-12416	180520	3826	true	Teleport_Start	MiniGame_Fly_11001_Teleport_Start	850	227	Name=MiniGame_Fly_11001	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11001	100	-7606	175514	157	true	NPC_Start	MiniGame_Fly_11001_NPC_Start	850	227	Name=MiniGame_Fly_11001	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11002	100	31748	230501	3015	true	Teleport_Start	MiniGame_Fly_11002_Teleport_Start	850	227	Name=MiniGame_Fly_11002	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11002	100	32424	230741	3154	true	NPC_Start	MiniGame_Fly_11002_NPC_Start	850	227	Name=MiniGame_Fly_11002	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11003	100	104661	59240	7085	true	Teleport_Start	MiniGame_Fly_11003_Teleport_Start	850	227	Name=MiniGame_Fly_11003	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11003	100	105012	58902	7094	true	NPC_Start	MiniGame_Fly_11003_NPC_Start	850	227	Name=MiniGame_Fly_11003	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11004	100	98794	236016	3472	true	Teleport_Start	MiniGame_Fly_11004_Teleport_Start	850	227	Name=MiniGame_Fly_11004	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11004	100	98932	235959	3435	true	NPC_Start	MiniGame_Fly_11004_NPC_Start	850	227	Name=MiniGame_Fly_11004	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11005	100	85748	182405	10810	true	Teleport_Start	MiniGame_Fly_11005_Teleport_Start	850	227	Name=MiniGame_Fly_11005	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11005	100	85536	182538	10639	true	NPC_Start	MiniGame_Fly_11005_NPC_Start	850	227	Name=MiniGame_Fly_11005	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11006	100	116664	155684	9845	true	Teleport_Start	MiniGame_Fly_11006_Teleport_Start	850	227	Name=MiniGame_Fly_11006	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11006	100	116807	155789	9798	true	NPC_Start	MiniGame_Fly_11006_NPC_Start	850	227	Name=MiniGame_Fly_11006	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11007	100	216677	2908	11151	true	Teleport_Start	MiniGame_Fly_11007_Teleport_Start	850	227	Name=MiniGame_Fly_11007	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11007	100	216763	3219	11078	true	NPC_Start	MiniGame_Fly_11007_NPC_Start	850	227	Name=MiniGame_Fly_11007	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11008	100	176962	63752	10187	true	Teleport_Start	MiniGame_Fly_11008_Teleport_Start	850	227	Name=MiniGame_Fly_11008	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11008	100	176951	64277	10096	true	NPC_Start	MiniGame_Fly_11008_NPC_Start	850	227	Name=MiniGame_Fly_11008	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11009	100	51698	46319	13491	true	Teleport_Start	MiniGame_Fly_11009_Teleport_Start	850	227	Name=MiniGame_Fly_11009	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11009	100	51868	46499	13431	true	NPC_Start	MiniGame_Fly_11009_NPC_Start	850	227	Name=MiniGame_Fly_11009	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11010	100	110373	11088	18454	true	Teleport_Start	MiniGame_Fly_11010_Teleport_Start	850	227	Name=MiniGame_Fly_11010	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11010	100	108900	8807	18645	true	NPC_Start	MiniGame_Fly_11010_NPC_Start	850	227	Name=MiniGame_Fly_11010	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11011	100	158957	-36011	6400	true	Teleport_Start	MiniGame_Fly_11011_Teleport_Start	850	227	Name=MiniGame_Fly_11011	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11011	100	158826	-38909	6774	true	NPC_Start	MiniGame_Fly_11011_NPC_Start	850	227	Name=MiniGame_Fly_11011	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11012	100	68852	64495	8019	true	Teleport_Start	MiniGame_Fly_11012_Teleport_Start	850	227	Name=MiniGame_Fly_11012	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11012	100	66676	64053	7559	true	NPC_Start	MiniGame_Fly_11012_NPC_Start	850	227	Name=MiniGame_Fly_11012	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11013	100	-6777	151662	4077	true	Teleport_Start	MiniGame_Fly_11013_Teleport_Start	850	227	Name=MiniGame_Fly_11013	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11013	100	-6434	150735	4293	true	NPC_Start	MiniGame_Fly_11013_NPC_Start	850	227	Name=MiniGame_Fly_11013	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11014	100	43494	198697	2323	true	Teleport_Start	MiniGame_Fly_11014_Teleport_Start	850	227	Name=MiniGame_Fly_11014	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11014	100	44553	196818	2260	true	NPC_Start	MiniGame_Fly_11014_NPC_Start	850	227	Name=MiniGame_Fly_11014	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11015	100	155077	130672	9144	true	Teleport_Start	MiniGame_Fly_11015_Teleport_Start	850	227	Name=MiniGame_Fly_11015	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
11015	100	154700	131739	8948	true	NPC_Start	MiniGame_Fly_11015_NPC_Start	850	227	Name=MiniGame_Fly_11015	ActorPositionData.xml:ActorPositionDataMap/ActorPositionData
