AcceptConditionType	AcceptConditionValue1	AcceptConditionValue2	AcceptConditionValue3	DataLayer	GroupID	ID	MapInfoImgName	Memo	MissionAreaSize	MissionCount	MissionKindWeight	MissionLimitTime	MissionNoticeDescription	MissionType	MissionValue1	MissionValue2	MissionValue3	Reward_ID	_element	_row	_source
MONSTER_ALIVE			DGoblinBerserker_Nam_1021201_Treasure		101	101	/Script/Paper2D.PaperSprite'/Game/Art/UI/InGame/03_System/World/World_MapInfo_Cave_Sprite.World_MapInfo_Cave_Sprite'	피범벅 크레즐 (고블린 버서커)	20000	1	100	180	102701	DEFEAT_MONSTER	140			2100000	UnexpectedMissionKindData	0	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionKindData.xml
MONSTER_ALIVE			DGoblinScorchBow_Nam_1031101		102	102	/Script/Paper2D.PaperSprite'/Game/Art/UI/InGame/03_System/World/World_MapInfo_Cave_Sprite.World_MapInfo_Cave_Sprite'	점화자 스닉락 (폭탄 활 고블린)	20000	1	100	180	102702	DEFEAT_MONSTER	141			2100000	UnexpectedMissionKindData	1	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionKindData.xml
MONSTER_ALIVE			DGoblinTribalhero_Nam_1031101		103	103	/Script/Paper2D.PaperSprite'/Game/Art/UI/InGame/03_System/World/World_MapInfo_Cave_Sprite.World_MapInfo_Cave_Sprite'	기회주의자 그리믹 (고블린 영웅)	20000	1	100	180	102703	DEFEAT_MONSTER	142			2100000	UnexpectedMissionKindData	2	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionKindData.xml
MONSTER_ALIVE			DSkeletonLeader_Nam_1041101		104	104	/Script/Paper2D.PaperSprite'/Game/Art/UI/InGame/03_System/World/World_MapInfo_GreenLand_Sprite.World_MapInfo_GreenLand_Sprite'	부식된 기사 칼바로스 (스켈레톤 쌍도끼)	20000	1	100	180	102704	DEFEAT_MONSTER	143			2100004	UnexpectedMissionKindData	3	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionKindData.xml
MONSTER_ALIVE			DHornet_Nam_1050501		105	105	/Script/Paper2D.PaperSprite'/Game/Art/UI/InGame/03_System/World/World_MapInfo_GreenLand_Sprite.World_MapInfo_GreenLand_Sprite'	꿰뚫는 젝타르 (벌 호넷)	20000	1	100	180	102705	DEFEAT_MONSTER	144			2100005	UnexpectedMissionKindData	4	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionKindData.xml
MONSTER_ALIVE			DGnollChief_Nam_1051101_Treasure		106	106	/Script/Paper2D.PaperSprite'/Game/Art/UI/InGame/03_System/World/World_MapInfo_GreenLand_Sprite.World_MapInfo_GreenLand_Sprite'	굶주린 사낭개 스나크 (놀 치프)	20000	1	100	180	102706	DEFEAT_MONSTER	145			2100000	UnexpectedMissionKindData	5	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionKindData.xml
MONSTER_ALIVE			DGoblinTribalhero_Nam_1060201		107	107	/Script/Paper2D.PaperSprite'/Game/Art/UI/InGame/03_System/World/World_MapInfo_GreenLand_Sprite.World_MapInfo_GreenLand_Sprite'	뼈 씹는 크래팰 (고블린 영웅)	20000	1	100	180	102707	DEFEAT_MONSTER	146			2100000	UnexpectedMissionKindData	6	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionKindData.xml
MONSTER_ALIVE			DGnollBombspearman_Nam_1061201		108	108	/Script/Paper2D.PaperSprite'/Game/Art/UI/InGame/03_System/World/World_MapInfo_BrownLand_Sprite.World_MapInfo_BrownLand_Sprite'	불꽃 송곳니 브로카르 (놀 폭탄 스피어맨)	20000	1	100	180	102708	DEFEAT_MONSTER	147			2100000	UnexpectedMissionKindData	7	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionKindData.xml
MONSTER_ALIVE			DHound_Nam_1061201_Pat		109	109	/Script/Paper2D.PaperSprite'/Game/Art/UI/InGame/03_System/World/World_MapInfo_BrownLand_Sprite.World_MapInfo_BrownLand_Sprite'	재간둥이 몽차차(하운드)	20000	1	100	180	102709	DEFEAT_MONSTER	148			2100002	UnexpectedMissionKindData	8	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionKindData.xml
MONSTER_ALIVE			DGhoul_Nam_1080601		110	110	/Script/Paper2D.PaperSprite'/Game/Art/UI/InGame/03_System/World/World_MapInfo_Fortress_Sprite.World_MapInfo_Fortress_Sprite'	핏덩이를 삼키는 그락 (구울 스캐빈저)	20000	1	100	180	102710	DEFEAT_MONSTER	149			2100004	UnexpectedMissionKindData	9	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionKindData.xml
