ID	MapID	Memo	MissionKindData	MissionPlaceWeight	MissionRange	SortOrder	UpdateTarget	_element	_row	_source
101	100	1월드 부락소탕01 피범벅 크레즐 (고블린 버서커)	101	100	DataLayer_UnexpectedMission101	2	M11_2	UnexpectedMissionPlaceData	0	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
102	100	1월드 부락소탕02 속삭이는 스닉락 (폭탄 활 고블린)	102	100	DataLayer_UnexpectedMission102	4	M11_2	UnexpectedMissionPlaceData	1	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
103	100	1월드 부락소탕03 기회주의자 그리믹 (고블린 영웅)	103	100	DataLayer_UnexpectedMission103	4	M11_2	UnexpectedMissionPlaceData	2	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
104	100	1월드 부락소탕04 부식된 기사 칼바로스 (스켈레톤 쌍도끼)	104	100	DataLayer_UnexpectedMission104	1	M11_2	UnexpectedMissionPlaceData	3	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
105	100	1월드 부락소탕05 질주하는 젝타르 (벌 호넷)	105	100	DataLayer_UnexpectedMission105	6	M11_2	UnexpectedMissionPlaceData	4	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
106	100	1월드 부락소탕06 굶주린 사냥개 스나크 (놀 치프)	106	100	DataLayer_UnexpectedMission106	6	M11_2	UnexpectedMissionPlaceData	5	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
107	100	1월드 부락소탕07 뼈 씹는 크래팰 (고블린 영웅)	107	100	DataLayer_UnexpectedMission107	5	M11_2	UnexpectedMissionPlaceData	6	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
108	100	1월드 부락소탕08 불꽃 송곳니 브로카르 (놀 폭탄 스피어맨)	108	100	DataLayer_UnexpectedMission108	5	M11_2	UnexpectedMissionPlaceData	7	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
109	100	1월드 부락소탕09 재간둥이 몽차차 (하운드)	109	100	DataLayer_UnexpectedMission109	5	M11_2	UnexpectedMissionPlaceData	8	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
110	100	1월드 부락소탕10 핏덩이를 삼키는 그락 (구울 스캐빈저)	110	100	DataLayer_UnexpectedMission110	10	M11_2	UnexpectedMissionPlaceData	9	G:\SteamLibrary\steamapps\common\DragonSword  Awakening\DS\Binaries\Win64\Mods\DragonSwordWorldDataProbe\runtime\runs\collect-20260807-125614\assault_catalog\merged-xml\UnexpectedMissionPlaceData.xml
