PlaceID	KindID	GroupID	MapID	MissionRange	MissionType	MissionValue1	AcceptConditionType	AcceptConditionValue3	Memo	CID	UID	UIDName	PosX	PosY	PosZ	RespawnCycleID	ServerDeathCheck	SpawnConditionID	SectionUID
101	101	101	100	DataLayer_UnexpectedMission101	DEFEAT_MONSTER	140	MONSTER_ALIVE	DGoblinBerserker_Nam_1021201_Treasure	피범벅 크레즐 (고블린 버서커)	140	4043812572012910280	DGoblinBerserker_Nam_1021201_Treasure	31762.0	172986.0	1070.0	105	True	0	2022130000100
102	102	102	100	DataLayer_UnexpectedMission102	DEFEAT_MONSTER	141	MONSTER_ALIVE	DGoblinScorchBow_Nam_1031101	점화자 스닉락 (폭탄 활 고블린)	141	16476789522859058767	DGoblinScorchBow_Nam_1031101	123082.0	216522.0	474.0	105	True	0	2092160000100
103	103	103	100	DataLayer_UnexpectedMission103	DEFEAT_MONSTER	142	MONSTER_ALIVE	DGoblinTribalhero_Nam_1031101	기회주의자 그리믹 (고블린 영웅)	142	12093201607744630023	DGoblinTribalhero_Nam_1031101	125992.0	223020.0	1348.0	105	True	0	2092170000100
104	104	104	100	DataLayer_UnexpectedMission104	DEFEAT_MONSTER	143	MONSTER_ALIVE	DSkeletonLeader_Nam_1041101	부식된 기사 칼바로스 (스켈레톤 쌍도끼)	143	5945914773662957327	DSkeletonLeader_Nam_1041101	77563.0	104532.0	2688.0	105	True	0	2062080000100
105	105	105	100	DataLayer_UnexpectedMission105	DEFEAT_MONSTER	144	MONSTER_ALIVE	DHornet_Nam_1050501	꿰뚫는 젝타르 (벌 호넷)	144	17806813628890497727	DHornet_Nam_1050501	177872.0	69206.0	8937.0	105	True	0	2132050000100
106	106	106	100	DataLayer_UnexpectedMission106	DEFEAT_MONSTER	145	MONSTER_ALIVE	DGnollChief_Nam_1051101_Treasure	굶주린 사낭개 스나크 (놀 치프)	145	15891872476099550759	DGnollChief_Nam_1051101_Treasure	181982.0	121015.0	7448.0	105	True	0	2142090000100
107	107	107	100	DataLayer_UnexpectedMission107	DEFEAT_MONSTER	146	MONSTER_ALIVE	DGoblinTribalhero_Nam_1060201	뼈 씹는 크래팰 (고블린 영웅)	146	7594676008865300212	DGoblinTribalhero_Nam_1060201	42388.0	69604.0	6838.0	105	True	0	2032050000100
108	108	108	100	DataLayer_UnexpectedMission108	DEFEAT_MONSTER	147	MONSTER_ALIVE	DGnollBombspearman_Nam_1061201	불꽃 송곳니 브로카르 (놀 폭탄 스피어맨)	147	12591255797234119641	DGnollBombspearman_Nam_1061201	31185.0	27227.0	22191.0	105	True	0	2022020000100
109	109	109	100	DataLayer_UnexpectedMission109	DEFEAT_MONSTER	148	MONSTER_ALIVE	DHound_Nam_1061201_Pat	재간둥이 몽차차(하운드)	148	3060543806338943140	DHound_Nam_1061201_Pat	15325.0	14193.0	21767.0	105	True	0	2012010000100
110	110	110	100	DataLayer_UnexpectedMission110	DEFEAT_MONSTER	149	MONSTER_ALIVE	DGhoul_Nam_1080601	핏덩이를 삼키는 그락 (구울 스캐빈저)	149	11693763593494907322	DGhoul_Nam_1080601	140594.0	-39245.0	14238.0	105	True	0	2101960000100
111	111	111	100	DataLayer_UnexpectedMission111	DEFEAT_MONSTER	150	MONSTER_ALIVE	DWraith_Nam_1080601	인도하는 젤무어 (레이스)	150	11208148848454530046	DWraith_Nam_1080601	145496.0	-40375.0	11419.0	105	True	0	2111960000100
112	112	112	100	DataLayer_UnexpectedMission112	DEFEAT_MONSTER	151	MONSTER_ALIVE	DToxicSlime_Nam_1080201	산성 점액 드라젤 (중독 슬라임)	151	6124897016509451252	DToxicSlime_Nam_1080201	184422.0	-7919.0	-2148.0	105	True	0	2141990000100
113	113	113	100	DataLayer_UnexpectedMission113	DEFEAT_MONSTER	134	MONSTER_ALIVE	DOrcTwinHammer_Nam_1020301	오크야만전사 바쉬	134	16465594684319230332	DOrcTwinHammer_Nam_1020301	-9866.0	136712.0	2515.0	105	True	0	1992100000100
118	118	118	100	DataLayer_UnexpectedMission118	DEFEAT_MONSTER	102	MONSTER_ALIVE	DGnollChief_Nam_1031301	굶주린 톱날의 크놀 (놀 치프)	102	2716828066323416481	DGnollChief_Nam_1031301	47533.0	213131.0	8198.0	105	True	0	2032160000100
119	119	119	100	DataLayer_UnexpectedMission119	DEFEAT_MONSTER	105	MONSTER_ALIVE	DGoblinBarbarian_Nam_Treasure_1030101	해골머리 루카키 (고블린 바바리안)	105	17242169850642425882	DGoblinBarbarian_Nam_Treasure_1030101	84067.0	166843.0	398.0	105	True	0	2062130000100
120	120	120	100	DataLayer_UnexpectedMission120	DEFEAT_MONSTER	106	MONSTER_ALIVE	DGoblinBerserker_Nam_1040901_Treasure	미치광이 쿠아쿠 (고블린 버서커)	106	9492034567087927094	DGoblinBerserker_Nam_1040901_Treasure	117793.0	111674.0	9570.0	105	True	0	2092080000100
121	121	121	100	DataLayer_UnexpectedMission121	DEFEAT_MONSTER	114	MONSTER_ALIVE	DHound_Nam_1050201	사나운 킁킁이 (하운드)	114	1922331597032103642	DHound_Nam_1050201	124421.0	87521.0	6496.0	105	True	0	2092060000100
122	122	122	100	DataLayer_UnexpectedMission122	DEFEAT_MONSTER	153	MONSTER_ALIVE	DOrc_Armored_Commander_Nam_1070701	무너지는 대지 그롬카르	153	15433445506166943	DOrc_Armored_Commander_Nam_1070701	204569.0	-45527.0	16006.0	105	True	0	2151960000100
123	123	123	100	DataLayer_UnexpectedMission123	DEFEAT_MONSTER	154	MONSTER_ALIVE	DDragonFanatic_Nam_1070901	이단의 인도자 브라하임 (용 숭배자)	154	17808947463243313662	DDragonFanatic_Nam_1070901	218170.0	-63077.0	10404.0	105	True	0	2171950000100
124	124	124	100	DataLayer_UnexpectedMission124	DEFEAT_MONSTER	156	MONSTER_ALIVE	DWraith_Named_1080301_Roam	공허한 어스름 노르 (레이스)	156	3866942243676480844	DWraith_Named_1080301_Roam	145667.0	-65164.0	20749.0	105	True	0	2111940000100
125	125	125	100	DataLayer_UnexpectedMission125	DEFEAT_MONSTER	157	MONSTER_ALIVE	DWraith_Named_1080302_Roam	희미한 장막 쉐르 (레이스)	157	8163009230058456111	DWraith_Named_1080302_Roam	160583.0	-66065.0	21561.0	105	True	0	2121940000100
126	126	126	100	DataLayer_UnexpectedMission126	DEFEAT_MONSTER	110	MONSTER_ALIVE	DSkeletonCommander_Nam_Treasure_1022501	묻힌 칼날 레스카 (스켈레톤 커맨더)	110	15241393205769957563	DSkeletonCommander_Nam_Treasure_1022501	31753.0	177642.0	6276.0	105	True	0	2022130000100
127	127	127	100	DataLayer_UnexpectedMission127	DEFEAT_MONSTER	158	MONSTER_ALIVE	DHuge_Worm_Com_1090101_Treasure	땅을 가르는 크래그모 (고정형 거대웜)	158	13640433902563202625	DHuge_Worm_Com_1090101_Treasure	90335.0	-37026.0	31229.0	105	True	0	2071970000100
128	128	128	100	DataLayer_UnexpectedMission128	DEFEAT_MONSTER	159	MONSTER_ALIVE	DFierce_Saw_teeth_Baby_Worm_Nam_1902001_Treasure_Roam	모래갈퀴 드라그스 (톱날 새끼웜)	159	16081040162960665912	DFierce_Saw_teeth_Baby_Worm_Nam_1902001_Treasure_Roam	25234.0	-126883.0	17359.0	105	True	0	2011900000100
