UID	UIDName	CID	PosX	PosY	PosZ	RespawnCycleID	ServerDeathCheck	PropID	BluePrintPath	BlueprintBase	GeneratedClassShortName	JoinField
7789112424781990388	Citadel_TreasureBox02	1107112	11240	11170	3866	0	False	1107112	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
7789115723316875021	Citadel_TreasureBox01	1107111	10990	17920	3040	0	False	1107111	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02.TreasureBox02	TreasureBox02	TreasureBox02_C	CID
2237130950359451463	AshenS_TrasureBox_01	1104111	21797	32363	1630	0	False	1104111	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
2237132049871079674	AshenS_TrasureBox_02	1104112	24007	16178	3631	0	False	1104112	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
87704866615849881	Thicket_TreasureBox01	1105111	37700	27220	57	0	False	1105111	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
2918581156207916173	Gnoll01_TrasureBox_02	1110212	3183	-13267	314	0	False	1110212	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
2918577857673031540	Gnoll01_TrasureBox_01	1110211	-6502	-10020	287	0	False	1110211	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
7163912638133001347	TrasureBox_Gnoll02	1110221	-17236	-2466	580	0	False	1110221	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
2521267810838934282	TreasureBox_R_Gnoll03_01	1110234	6370	-5705	1772	0	False	1110234	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
5869251831668709664	TreasureBox_N_Gnoll03_03	1110233	-3041	-381	855	0	False	1110233	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02.TreasureBox02	TreasureBox02	TreasureBox02_C	CID
5869252931180337875	TreasureBox_N_Gnoll03_02	1110232	-2573	-368	855	0	False	1110232	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02.TreasureBox02	TreasureBox02	TreasureBox02_C	CID
5869254030691966086	TreasureBox_N_Gnoll03_01	1110231	-2000	-661	841	0	False	1110231	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02.TreasureBox02	TreasureBox02	TreasureBox02_C	CID
13521181068879373457	DarkSwamp_Dungeon_RewardProp	1106111	1008	8469	0	0	False	1106111	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
2340359767663993918	Forgotten_Cataccomb01_TreasureBox01	1110111	-7520	23695	3501	0	False	1110111	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02.TreasureBox02	TreasureBox02	TreasureBox02_C	CID
7056587561336727122	Forgotten_Cataccomb02_TreasureBox02	1110122	13825	-75	4242	0	False	1110122	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
7056586461825098911	Forgotten_Cataccomb02_TreasureBox01	1110121	7784	984	4244	0	False	1110121	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02.TreasureBox02	TreasureBox02	TreasureBox02_C	CID
16787284859732265760	DsETGatherSpawnActor2	1110131	21540	5125	2259	0	False	1110131	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
12364746174419933509	Forgotten_Cataccomb04_TreasureBox01	1110141	15015	14600	1935	0	False	1110141	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
2973422594255016099	Goblin01_TreasureBox01	1110311	17600	8625	-2221	0	False	1110311	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02.TreasureBox02	TreasureBox02	TreasureBox02_C	CID
17452723928096888786	Goblin02_TreasureBox01	1110321	-1265	8835	572	0	False	1110321	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
3035493876324319452	Goblin03_TreasureBox02	1110332	-13100	6320	2956	0	False	1110332	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02.TreasureBox02	TreasureBox02	TreasureBox02_C	CID
3035497174859204085	Goblin03_TreasureBox01	1110331	4895	10060	826	0	False	1110331	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
5861127837042976253	Goblin04_TreasureBox02	1110342	-2855	9895	1490	0	False	1110342	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
5861124538508091620	Goblin04_TreasureBox01	1110341	6965	13620	1576	0	False	1110341	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
16787284859732265760	DsETGatherSpawnActor2	1111211	30880	-1460	5042	0	False	1111211	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
3101822537543377759	Hound_TreasureBox01	1110011	695	13065	-1012	0	False	1110011	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02.TreasureBox02	TreasureBox02	TreasureBox02_C	CID
12201242853460103237	Orc_dungeon_Treasure_Box_02	1111112	4837	-3143	2527	0	False	1111112	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
12201239554925218604	Orc_dungeon_Treasure_Box_01	1111111	-1270	-3350	2545	0	False	1111111	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
12408367829667805711	WMaze_TrasureBox_01	1109111	-3494	17352	18692	0	False	1109111	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03.TreasureBox03	TreasureBox03	TreasureBox03_C	CID
12139008898097819446	DT_Unlock_G3_11011	11030111	167703	206197	-1348	0	False	11030111	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03_Mount.TreasureBox03_Mount	TreasureBox03_Mount	TreasureBox03_Mount_C	CID
16894848533598834965	DT_Unlock_G2_11033	11020133	198769	227237	-813	0	False	11020133	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02_Mount.TreasureBox02_Mount	TreasureBox02_Mount	TreasureBox02_Mount_C	CID
16894847434087206754	DT_Unlock_G2_11032	11020132	172801	200046	-788	0	False	11020132	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02_Mount.TreasureBox02_Mount	TreasureBox02_Mount	TreasureBox02_Mount_C	CID
12139009997609447657	DT_Unlock_G3_11010	11030110	241977	236277	-1073	0	False	11030110	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03_Mount.TreasureBox03_Mount	TreasureBox03_Mount	TreasureBox03_Mount_C	CID
16894846334575578543	DT_Unlock_G2_11031	11020131	175703	218869	-4316	0	False	11020131	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox02_Mount.TreasureBox02_Mount	TreasureBox02_Mount	TreasureBox02_Mount_C	CID
12138028133725644459	DT_Unlock_G3_11009	11030109	182804	223294	-3988	0	False	11030109	/Game/Maps/world/world_01/World_01_Collection/TreasureBox/TreasureBox03_Mount.TreasureBox03_Mount	TreasureBox03_Mount	TreasureBox03_Mount_C	CID
